task: 4938,608,2575,4220,663,2678,4419,3753,2188 | cost: 607.787347500107
task: 4302,3667,2464,12,5048,2082,3715 | cost: 1696.592980499645
task: 3602,4416,2963,1123,3648,907,2406,1888 | cost: 2504.0260440000566
task: 154,1311,4529,1632,3294,3819,4488,3707 | cost: 388.3600630001638
task: 4942,2444,3664,2546,2474,3141,2116,4691,4392 | cost: 1099.3604850000338
task: 4748,3923,2100,2637,2549 | cost: 45.318139999835694
task: 258,1967,3430,5034,4401,663 | cost: 1018.1342409996432
task: 2979 | cost: 2.548828000726644
task: 1297,4510,1698,4740,5063,2721,4396,5081,3822 | cost: 629.3610084999273
task: 3136,2999,3222,1003,1042,2626,4450,2703,1119,3671 | cost: 772.4789835001502
task: 4259,1238,3582,2291,271,4043,4397 | cost: 907.1074465000493
task: 4187 | cost: 1.487382999584952
task: 4835,4797,1534,3979,1166,4376,1758,4620,3253,3003 | cost: 124.25831350037697
task: 2498,558,1523,4499,4796,4356,2986,107,2500,4117,2506,3392,3434,3593,2493 | cost: 2058.5678199995527
task: 3481,1409,957,4358,2906,2717,3160,3622,1330,4818,3866,3135,1283,5047,1774 | cost: 1398.996704000183
task: 3407,2509,1368,3825,4374,3135,3910,1442,3957,2729 | cost: 644.6721034999428
task: 940,157,1537,4196 | cost: 3594.2330494999624
task: 3478,4402,472 | cost: 241.93814099999145
task: 3166,2113,2498,682,2249,2206,3252,1464,4614,3708,678,2280,4280,2170,27 | cost: 2655.219802999909
task: 4970,2101,4171,1591,1071,533,515,3357,4500,1681,570 | cost: 739.2944600001101
task: 4136,4538 | cost: 405.8889714997349
task: 4589,3967,1603,3760,3309,3945 | cost: 367.4291130000711
task: 1895,1808,4240,4160,1694,2536,1908,2919 | cost: 711.1057394999989
task: 4330,4770,4957,3478,3001,4449,2535,2493,2197,2761,3564 | cost: 469.84731749989805
task: 4847,2208,3617,541,4685,3768,3333,3700,3732,928,4902,1875,4296 | cost: 2820.910267999807
task: 4430,1346,2810,2368,2952,4021 | cost: 371.08700749968193
task: 3794 | cost: 16.57612950020848
task: 927,3008,2911,1925,3790,4669 | cost: 1107.8704794999794
task: 2952,2092,4927,1889,4633 | cost: 170.2384335003444
task: 2271,3570,4313,4031,658,620 | cost: 638.3349100001396
task: 3737,4012,3775,2808,5045 | cost: 405.3061039999193
task: 66,4707 | cost: 1451.2697689997367
task: 3191,4079,3319,398,1766,4093,3205,3694 | cost: 567.7565964997484
task: 569,5131,4469,4714,2091,2748,2357,4155,1291,175,4072,4426,2598,3540 | cost: 1471.6628240003047
task: 2477 | cost: 148.50961349975478
task: 4680 | cost: 53.19290999977966
task: 3102,71,232,2656,1261 | cost: 2068.636989999959
task: 3805,229,1511,3972,2917,4308 | cost: 243.57005649972052
task: 4854,5115,4667,3574,4547,2290,1873,4155 | cost: 730.6155100004617
task: 4929,2486,2514,1521,1051,3443,4397,1791,1863 | cost: 1857.3482064998643
